股票代码_firm_id,供应链年份_year,行业_industry,核心企业代码_core,标签_label,总资产净利率ROA_var1,总资产报酬率ROA_var2,净资产收益率ROE_var3,销售净利率_var4,成本费用利润率_var5,营业利润／营业总收入_var6,资产负债率_var7,流动比率_var8,速动比率_var9,现金比率_var10,现金流量利息保障倍数_var11,营业收入净含量=经活现流净÷营总收_var12,经活现流净÷流负_var13,带息负债率_var14,总资产周转率_var15,净资产周转率_var16,现金周转率_var17,营运资金周转率_var18,基本每股收益（同比增长率）_var19,总资产（同比增长率）_var20,净资产（同比增长率）_var21,净利润（同比增长率）_var22,经营活动产生的现金流量净额（同比增长率）_var23,营业总收入（同比增长率）_var24,利润总额（同比增长率）_var25,研发人员数量占比_var26,研发投入总额占营业收入比例_var27,本科生人数占比_var28,ln(上市天数)_var29,应收账款周转率_var30,存货周转率_var31,营业周期_var32,净营业周期_var33,应收账坏账比例=应收账坏准÷总应收账_var34,存货跌价比例=存货跌准÷总存货_var35,预付账款÷流资_var36,核心企业总资产（同比增长率）_var37,核心企业总资产净利率ROA_var38,核心企业总资产报酬率ROA_var39,核心企业净资产收益率ROE_var40,核心企业总资产周转率_var41,核心企业现金比率_var42,核心企业营业利润／营业总收入_var43,核心企业资产负债率_var44,核心企业流动比率_var45,核心企业速动比率_var46,核心企业ln(资产总计)_var47,核心企业ln（经营活动产生的现金流量净额）_var48,行业流动比率_var49,行业速动比率_var50,行业利息保障倍数A_var51,行业资产负债率_var52,行业资产报酬率B_var53,行业总资产净利润率(ROA)B_var54,行业净资产收益率B_var55,行业总资产增长率_var56,行业净利润增长率_var57,客户集中度1_var58,供应商集中度1_var59,客户集中度2_var60,供应商集中度2_var61,客户集中度3_var62,供应商集中度3_var63,供应链集中度_var64,销售额/采购额占比_var65,信息化水平_var66,协同处理能力_var67
831278,2017,C34,600104,0,17.1371,20.6857,30.21,17.3594,24.3399,19.7416,38.9407,1.7651,1.2608,21.0538,733.8294,7.16463725496202,15.7442291854171,39.454,0.9872,1.6931,1476.6484,3.6349,91.8919,37.1855,45.706,94.2182,-6.3722,52.0451,94.9742,15.04,4.7954,9.9757,0.0,3.4798,3.9217,195.2511,93.9283,7.02301665921657,0.395398675224731,7.49167869208404,22.4853,7.1705,8.26,16.87,1.3057,32.3313,6.215,62.3921,0.9974,0.5186,27.3074121750055,23.9137862988883,1.393609,1.07539,7.563222,0.565064,0.033715,0.028646,0.065076,0.127522,0.13487,16.79,19.17,50.18,45.7,5.847512,5.869392,47.94,7.25,0.165628077031951,10.486
831961,2017,C40,600151,0,4.5112,5.1574,6.28,9.8657,12.0789,10.6188,36.68,3.8516,1.8914,123.6751,3478.08,14.9932248306793,45.3751922406289,13.2218,0.4573,0.697,262.685,1.1287,42.1053,12.1984,7.3827,50.3271,75.573,42.9943,34.6265,58.6,32.28,63.7168,0.0,3.5356,1.4601,348.38,271.203,6.70489132498715,0.0,3.48406931932966,-5.1224,-2.5901,-1.1953,-5.2306,0.4951,48.3126,-4.2027,55.3386,1.2238,1.057,23.2953879949748,-18.8239249393253,1.967189,1.678323,12.493846,0.406754,0.067353,0.061115,0.100825,0.252609,0.521606,19.12,37.76,52.1,69.83,6.802634,17.009361,60.97,9.39,0.274378826832187,4.5071
833874,2017,C36,600166,0,25.406808,29.9470090000001,47.54,37.134919,65.662154,40.0832,16.8724,4.3554,1.9426,81.6739,2920.49545,47.8847061462854,216.558629764391,0.0071,0.8385,1.0087,1842.273,1.4817,15.2318,21.9579,21.9338,16.9495,13.9414,19.0727,17.95,12.92,4.14,6.6421,0.0,5.4932,8.3148,108.8319,62.8772,5.26487614413012,0.0,0.0843557496078743,15.777,0.0497,0.6649,0.59,0.889,8.4448,0.0106,69.4915,0.7425,0.4473,24.8571421570001,-21.6848465591546,1.146231,0.977804,18.827385,0.591203,0.058552,0.054998,0.134331,0.177474,0.071422,84.1695000000001,36.64,99.4042,71.08,70.9694395300001,17.106418,85.54,1.1174,0.0966714012095758,10.13265
830839,2017,C34,600188,0,10.0863,12.3343,16.99,11.0844,14.5692,12.6195,44.5793,1.6698,0.9688,12.7612,-122.6905,-1.04571320119256,-1.96956826507197,32.9619,0.91,1.5222,3602.5171,3.3609,345.6169,39.2533,18.572,345.5662,77.464,195.970524,552.0367,13.0435,4.4599,8.6957,0.0,5.4574,2.7964,194.7024,140.9999,10.273030871354,0.83444933128432,5.39161129132095,27.3387,4.6177,7.5252,14.0,0.8882,45.2608,5.9591,60.3456,1.047,0.7336,25.9956872335349,23.4997889343719,1.393609,1.07539,7.563222,0.565064,0.033715,0.028646,0.065076,0.127522,0.13487,25.67,10.95,63.54,40.29,10.365728,3.586295,51.92,7.95,0.213421141591077,20.2577
300337,2017,C32,600219,1,0.2986,1.855,0.51,0.394,0.4556,0.6367,42.8746,1.5414,0.8119,12.3812,-161.6814,-3.19750161169262,-8.03665156366341,81.4244,0.7579,1.2945,3100.0115,6.8073,6.7416,5.456,0.3164,12.6921,74.3779,27.1075,-28.2859,11.68,3.11,16.0569,7.59689443814454,5.0499,3.5068,173.9462,150.0811,9.15383538560424,0.787994861893849,1.98812941167535,7.8599,3.8779,5.4418,5.01,0.3847,74.2725,13.2193,24.7186,2.0082,1.2614,24.5527877673754,21.3163646123066,1.03535,0.648596,3.071352,0.570448,0.046316,0.028536,0.067154,0.118922,1.117618,7.78,53.2,26.16,80.35,1.452336,31.968025,53.26,3.62,0.374889851019958,3.32635
430047,2017,C27,600223,1,-20.0163,-19.3291,-34.9,-302.121359,-80.1088,-305.325805,48.8417,1.5951,1.0053,98.6754,-1677.7468,-72.3110029803925,-86.9521145417539,65.5188,0.081444,0.075912,35.9416,0.9871,-78.5714,-2.5773,-30.4667,-69.1254,-0.1555,-50.5851,-69.3106,29.2135,73.5310000000001,44.8276,0.0,68.8040120000001,1.5174,239.5791,27.1897,119.361717285885,41.8027579916202,0.453296184895779,5.9651,0.2699,0.6362,4.62,0.1757,7.3706,3.9681,86.8322680000001,1.2284,0.164797,24.4936077350308,21.1648272754932,1.970687,1.484069,14.054388,0.371473,0.084045,0.076903,0.120746,0.156192,0.202526,52.29,39.13,96.21,62.51,33.679379,17.088229,79.36,9.62,0.406390389494953,1.2784985
300288,2017,I65,600227,0,6.0315,6.9418,8.32,21.2255,28.3698,26.1589,16.9213,1.5956,1.5485,119.6891,4569.7756,16.9874259653868,30.4592638429854,46.3284,0.2842,0.3343,161.1633,2.6456,16.0,11.5577,7.2473,19.2929,-21.7046,3.4371,15.3793,18.49,8.03,45.7395,7.67089483136212,5.6663,28.7651,76.0487,14.077,1.40498921317514,6.30048526451443,0.831548663590363,-3.4728,0.5407,1.8102,0.82,0.2398,23.6209,2.7922,32.7128,1.0704,0.6541,22.6601266520954,-17.2981902785335,1.872884,1.582274,19.207956,0.375062,0.052537,0.049427,0.077277,0.190871,0.016995,9.37,14.55,19.06,35.58,1.127285,3.822237,27.32,14.55,0.0846887829266053,16.62325
300479,2017,C39,600271,0,5.6632,5.7918,4.22,8.5715,9.3306,7.4247,22.5668,3.381,2.2612,107.9066,-3536.3491,-13.7757864386212,-39.0611102612708,37.7654,0.6607,0.8402,253.1672,1.1657,-16.8478,11.1366,1.8762,42.196,-3.9708,27.3331,18.8207,46.61,12.27,57.6271,6.83840520084734,3.0121,2.1509,286.8897,257.9822,7.31014335153073,0.492679500278373,6.00616662170909,9.8087,13.0883,16.4222,16.16,1.5971,229.425043,10.2299,36.996,3.1645,2.764622,23.6937343139118,21.8323719816783,1.496692,1.207865,5.740404,0.522202,0.051095,0.041147,0.085742,0.155117,0.354227,4.99,38.01,21.87,55.02,0.971536,15.427059,38.45,3.43,0.161666265795507,13.70785
300459,2017,I64,600328,0,5.0847,5.508,7.63,29.2973,42.6255,31.0739,11.0476,2.3203,2.1613,134.0042,1771.1958,15.5577565995116,23.9686129212765,56.6519,0.1736,0.1919,116.0175,1.0839,31.5789,100.0968,89.8756,86.5791,-35.6392,56.0845,73.8856,49.76,6.27,49.843,6.86797440897029,3.1764,11.5926,144.3902,93.8085,5.79253832044207,2.81812471491109,2.54184231739617,4.6539,6.1907,9.6455,10.017,0.5023,6.58323,13.5069,62.0642,0.4497,0.2861,22.6240094261934,20.252968875499,1.48927,1.420709,1.446954,0.437035,0.004094,-0.003275,-0.005719,0.225388,-0.83135783,6.06,8.27,19.74,24.41,0.908709,1.350019,22.08,8.27,0.160172340521403,8.2322
300534,2017,C27,600332,0,2.2142,2.2578,2.42,6.3475,7.0791,6.7061,8.9535,4.9693,4.3433,111.2161,-523.9235,-0.761824578957917,-3.89875533592989,14.2782,0.3488,0.3808,294.8097,1.1948,-70.579,2.4564,1.2017,-63.7856,-115.6354,-0.0349,-66.9026,11.36,2.28,35.6061,6.16120732169508,1.8359,8.9169,236.4619,178.4395,6.00058984730742,3.62532584772105,1.57516611746728,9.3352,7.8166,8.4161,11.34,0.773,141.5201,11.7445,31.9677,2.6007,1.848,24.0666474165005,21.3295965627382,1.970687,1.484069,14.054388,0.371473,0.084045,0.076903,0.120746,0.156192,0.202526,8.64,46.62,30.24,91.06,1.941452,28.110638,60.65,8.64,0.13244976812797,6.47385
